分类: 📺央视频道, 名称: CCTV-1, 有效: 6, IPv4: 46, IPv6: 0, 最小延迟: 70 ms, 最高速率: 13.76 M/s, 平均速率: 10.52 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 88 ms, 最高速率: 12.18 M/s, 平均速率: 5.67 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 6, IPv4: 40, IPv6: 0, 最小延迟: 72 ms, 最高速率: 13.28 M/s, 平均速率: 8.88 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 6, IPv4: 41, IPv6: 0, 最小延迟: 70 ms, 最高速率: 13.64 M/s, 平均速率: 12.24 M/s, 最高分辨率: 3840x2160
分类: 📺央视频道, 名称: CCTV-5, 有效: 6, IPv4: 42, IPv6: 0, 最小延迟: 73 ms, 最高速率: 13.70 M/s, 平均速率: 10.58 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 4, IPv4: 29, IPv6: 0, 最小延迟: 114 ms, 最高速率: 17.69 M/s, 平均速率: 9.57 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 6, IPv4: 35, IPv6: 0, 最小延迟: 93 ms, 最高速率: 10.45 M/s, 平均速率: 7.20 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 6, IPv4: 35, IPv6: 0, 最小延迟: 145 ms, 最高速率: 10.81 M/s, 平均速率: 6.54 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 6, IPv4: 37, IPv6: 0, 最小延迟: 73 ms, 最高速率: 13.39 M/s, 平均速率: 10.72 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 6, IPv4: 35, IPv6: 0, 最小延迟: 74 ms, 最高速率: 13.44 M/s, 平均速率: 11.80 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 6, IPv4: 33, IPv6: 0, 最小延迟: 72 ms, 最高速率: 13.78 M/s, 平均速率: 10.89 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 7, IPv4: 36, IPv6: 0, 最小延迟: 80 ms, 最高速率: 12.13 M/s, 平均速率: 10.65 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 6, IPv4: 32, IPv6: 0, 最小延迟: 70 ms, 最高速率: 13.30 M/s, 平均速率: 10.52 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 6, IPv4: 34, IPv6: 0, 最小延迟: 70 ms, 最高速率: 14.17 M/s, 平均速率: 12.12 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 6, IPv4: 32, IPv6: 0, 最小延迟: 68 ms, 最高速率: 13.72 M/s, 平均速率: 9.71 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 6, IPv4: 33, IPv6: 0, 最小延迟: 85 ms, 最高速率: 10.45 M/s, 平均速率: 7.65 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 6, IPv4: 25, IPv6: 0, 最小延迟: 141 ms, 最高速率: 10.10 M/s, 平均速率: 6.85 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 6, IPv4: 28, IPv6: 0, 最小延迟: 95 ms, 最高速率: 10.35 M/s, 平均速率: 7.90 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 2, IPv4: 17, IPv6: 0, 最小延迟: 138 ms, 最高速率: 6.83 M/s, 平均速率: 6.40 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 2, IPv4: 15, IPv6: 0, 最小延迟: 70 ms, 最高速率: 14.03 M/s, 平均速率: 10.51 M/s, 最高分辨率: 1920x1080
